category,delivery_time,name,no_of_reviews,price,rating
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Cancer,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Aquarius,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",6x6 Custom Wood Print, 2 reviews ,Rs. 699.00,Average rating is 5.00 stars
/workplace,"(None,)",Desk Name Plate With Led Light, No reviews ,"Rs. 1,199.00",Average rating is 0.00 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Cover Libra Zodiac Sign Engraved and Crafted, 5 reviews ,Rs. 499.00,Average rating is 4.80 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Cover Sagittarius Zodiac Sign Engraved and Crafted, 4 reviews ,Rs. 499.00,Average rating is 4.75 stars
/workplace,"(None,)",Wooden Cover Virgo Zodiac Sign Engraved and Crafted,"(None,)",Rs. 499.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",ChitraChaya Zodiac Sign Gemini Diary Notebook Wooden Cover, 3 reviews ,Rs. 499.00,Average rating is 4.67 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Put Beer Here","(None,)",Rs. 399.00 – Rs. 749.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Red Devils","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Arsenal","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Arsenal", 1 review ,Rs. 399.00 – Rs. 699.00,Average rating is 5.00 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Aries,"(None,)",Rs. 699.00,"(None,)"
